0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
133, 11,7,10,9,6,8,8,11,7,9,
134, 11,7,10,9,6,8,8,11,7,9,
135, 11,7,10,9,6,8,8,11,7,9,
136, 11,7,10,9,6,8,8,11,7,9,
137, 11,7,10,9,6,8,8,11,7,9,
138, 11,7,10,9,6,8,8,11,7,9,
139, 11,7,10,9,6,8,8,11,7,9,
140, 11,7,10,9,6,8,8,11,7,9,
141, 11,7,10,9,6,8,8,11,7,9,
142, 11,7,10,9,6,8,8,11,7,9,
143, 11,7,11,9,6,8,8,11,7,9,
144, 11,7,11,9,6,8,8,11,7,9,
145, 11,7,11,9,6,8,8,11,7,9,
146, 11,7,11,9,6,8,8,11,7,9,
147, 11,7,11,9,6,8,8,11,7,9,
148, 11,7,11,9,6,8,8,11,7,9,
149, 11,7,11,9,6,8,8,11,7,9,
150, 11,7,11,9,6,8,8,11,7,9,
151, 11,7,11,9,6,8,8,11,7,9,
152, 11,7,11,9,6,8,8,11,7,9,
153, 11,7,11,9,6,8,8,11,7,9,
154, 11,7,11,9,6,8,8,11,7,9,
155, 11,7,11,9,6,8,8,11,7,9,
156, 11,7,11,9,6,8,8,11,7,9,
157, 11,7,11,9,6,8,8,11,7,9,
158, 11,7,11,9,6,8,8,11,7,9,
159, 11,7,11,9,6,8,8,11,7,9,
160, 11,7,11,9,6,8,8,11,7,9,
161, 11,7,11,9,6,8,8,11,7,9,
162, 11,7,11,9,6,8,8,11,7,9,
163, 11,7,11,9,6,8,8,11,7,9,
164, 11,10,11,9,6,8,8,11,7,9,
165, 11,10,11,9,6,8,8,11,7,9,
166, 11,10,11,9,6,8,8,11,7,9,
167, 11,10,11,9,6,8,8,11,7,9,
168, 11,10,11,9,6,8,8,11,7,9,
169, 11,10,11,9,6,8,8,11,7,9,
170, 11,10,11,9,6,8,8,11,7,9,
171, 11,10,11,9,6,8,8,11,7,9,
172, 11,10,11,9,6,8,8,11,7,9,
173, 11,10,11,9,6,8,8,11,7,9,
174, 11,10,11,9,6,8,8,11,7,9,
175, 11,10,11,9,6,8,8,11,7,9,
176, 11,10,11,9,6,8,8,11,7,9,
177, 11,10,11,9,6,8,8,11,7,9,
178, 11,10,11,9,6,8,8,11,7,9,
179, 11,10,11,9,6,8,8,11,7,9,
180, 11,10,11,9,6,8,8,11,7,9,
181, 11,10,11,9,6,8,8,11,7,9,
182, 11,10,11,9,6,8,8,11,7,9,
183, 11,10,11,9,6,8,8,11,7,9,
184, 11,10,11,9,6,8,8,11,7,9,
185, 11,10,11,9,6,8,8,11,7,9,
186, 11,10,11,9,6,8,8,11,7,9,
187, 11,10,11,9,6,8,8,11,7,9,
188, 11,10,11,9,6,8,8,11,7,9,
189, 11,10,11,9,6,8,8,11,7,9,
190, 11,10,11,9,6,8,8,11,7,9,
191, 11,10,11,9,6,8,8,11,7,9,
192, 11,10,11,9,6,8,8,11,7,9,
193, 11,10,11,9,6,8,8,11,7,9,
194, 11,10,11,9,6,8,8,11,7,9,
195, 11,10,11,9,6,11,8,11,7,11,
196, 11,10,11,9,6,11,8,11,7,11,
197, 11,10,11,9,6,11,8,11,7,11,
198, 11,10,11,9,6,11,8,11,7,11,
199, 11,10,11,9,6,11,8,11,7,11,
200, 11,10,11,9,6,11,8,11,7,11,
201, 11,10,11,9,6,11,8,11,7,11,
202, 11,10,11,9,6,11,8,11,7,11,
203, 11,10,11,9,6,11,8,11,7,11,
204, 11,10,11,9,6,11,8,11,7,11,
205, 11,10,11,9,6,11,8,11,7,11,
206, 11,10,7,9,6,11,8,11,7,11,
207, 11,10,7,9,6,11,8,11,7,11,
208, 11,10,7,9,6,11,8,11,7,11,
209, 11,10,7,9,6,11,8,11,7,11,
210, 11,10,7,9,6,11,8,11,7,11,
211, 11,10,7,9,6,11,8,11,7,11,
212, 11,10,7,9,6,11,8,11,7,11,
213, 11,10,7,9,6,11,8,11,7,11,
214, 11,10,7,9,6,11,8,11,7,11,
215, 11,10,7,9,6,11,8,11,7,11,
216, 11,10,7,9,6,11,8,9,7,11,
217, 11,10,7,9,6,11,8,9,7,11,
218, 11,10,7,9,6,11,8,9,7,11,
219, 11,10,7,11,6,11,11,9,7,11,
220, 11,10,7,11,6,11,11,9,7,11,
221, 11,10,7,11,6,11,11,9,7,11,
222, 11,10,7,11,6,11,11,9,7,11,
223, 11,10,7,11,6,11,11,9,7,11,
224, 11,10,7,11,6,11,11,9,7,11,
225, 11,10,7,11,6,11,11,9,7,11,
226, 11,10,7,11,6,11,11,9,7,11,
227, 11,9,7,11,11,9,11,9,7,11,
228, 11,9,7,11,11,9,11,9,7,11,
