0, R1,R2,R3,R4,R5,R6,R7,R8,R9,
133, 9,9,6,9,9,7,6,8,10,9,
134, 9,9,9,8,9,9,6,8,10,7,
135, 8,9,9,8,9,9,6,8,10,7,
136, 8,9,9,8,9,9,6,8,10,7,
137, 8,9,9,8,9,9,6,8,10,7,
138, 8,9,9,8,9,9,6,8,10,7,
139, 8,9,9,8,9,9,6,8,10,7,
140, 8,9,9,8,9,9,6,8,10,7,
141, 8,9,9,8,9,9,6,8,10,7,
142, 8,9,9,8,9,9,6,8,10,7,
143, 8,9,9,8,9,9,6,8,10,7,
144, 8,9,9,8,9,9,6,8,10,7,
145, 8,9,9,8,9,9,6,8,10,7,
146, 8,9,9,8,9,9,6,8,10,7,
147, 8,9,9,8,9,9,6,8,10,7,
148, 8,9,9,8,9,9,6,8,10,7,
149, 8,9,9,8,9,9,6,8,10,7,
150, 8,9,9,8,9,9,6,8,10,7,
151, 8,9,9,8,9,9,6,8,10,7,
152, 8,9,9,8,9,9,6,8,10,7,
153, 8,9,9,8,9,9,6,8,10,7,
154, 8,9,9,8,9,9,6,8,10,7,
155, 8,9,9,8,9,9,6,8,10,7,
156, 8,9,9,8,9,9,6,8,10,7,
157, 8,9,9,8,9,9,6,8,10,7,
158, 8,9,9,8,9,9,6,8,10,7,
159, 8,9,9,8,9,9,6,8,10,7,
160, 8,9,9,8,9,9,6,8,10,7,
161, 8,9,9,8,9,9,6,8,6,7,
162, 8,9,9,8,9,9,6,8,6,7,
163, 8,9,9,8,9,9,6,8,6,7,
164, 8,9,9,8,9,9,6,8,6,7,
165, 8,9,9,8,9,9,6,8,6,7,
166, 8,9,9,8,9,9,6,8,6,7,
167, 8,9,9,8,9,9,6,8,6,7,
168, 8,9,9,8,9,9,6,8,6,7,
169, 8,9,9,8,9,9,6,8,6,7,
170, 8,9,9,8,9,9,6,8,6,7,
171, 8,9,9,8,9,9,6,8,6,7,
172, 8,9,9,8,9,9,6,8,6,7,
173, 8,9,9,8,9,9,6,8,6,7,
174, 8,9,9,8,9,9,6,8,6,7,
175, 8,9,9,8,9,9,6,8,6,7,
176, 8,10,9,9,9,9,6,8,6,7,
177, 8,10,9,9,9,9,6,8,6,7,
178, 8,10,9,9,9,9,6,8,6,7,
179, 8,10,9,9,9,9,6,8,6,7,
180, 8,10,9,9,9,9,6,8,6,7,
181, 8,10,9,9,9,9,6,8,6,7,
182, 8,10,9,9,9,9,6,8,6,7,
183, 8,10,9,9,9,9,6,8,6,7,
184, 8,10,9,9,7,9,6,8,6,7,
185, 8,10,9,9,7,9,6,8,6,7,
186, 8,10,9,9,7,9,6,8,6,7,
187, 8,10,9,9,7,9,6,8,6,7,
188, 8,10,9,9,7,9,6,8,6,7,
189, 8,10,9,9,7,9,6,8,6,7,
190, 8,10,9,9,7,9,6,8,6,7,
191, 8,10,9,9,7,9,6,8,6,7,
192, 8,10,9,9,7,9,6,8,6,7,
193, 8,10,9,9,7,9,6,8,6,7,
194, 8,10,9,9,7,9,6,8,6,7,
195, 8,10,9,9,7,9,10,8,6,7,
196, 8,10,9,9,7,9,10,8,6,7,
197, 8,10,9,9,7,9,10,8,6,7,
198, 8,10,9,9,7,9,10,8,6,7,
199, 8,10,9,9,7,9,10,8,6,7,
200, 8,10,9,9,7,9,10,8,6,7,
201, 8,10,9,9,7,9,10,8,6,7,
202, 8,10,9,9,7,9,10,8,6,7,
203, 8,10,9,9,7,9,10,8,6,7,
204, 8,10,9,9,7,9,10,8,6,7,
205, 8,10,9,9,7,9,10,8,6,7,
206, 8,10,9,9,7,9,10,8,6,7,
207, 8,10,9,9,7,9,10,8,6,7,
208, 8,10,9,9,7,9,10,8,6,7,
209, 8,10,9,9,7,9,10,8,6,7,
210, 8,10,9,9,7,9,10,8,6,7,
211, 8,10,9,9,7,9,10,8,6,7,
212, 8,10,9,9,7,9,10,8,6,7,
213, 8,10,9,9,7,9,10,8,6,7,
214, 8,10,9,9,7,9,10,8,6,7,
215, 8,10,9,9,7,9,10,8,6,7,
216, 8,10,9,9,7,9,10,8,6,7,
217, 8,10,9,9,7,9,10,8,6,7,
218, 8,10,9,9,7,9,10,8,6,7,
219, 8,10,9,9,7,6,10,8,6,7,
220, 8,10,9,9,7,6,10,8,6,7,
221, 8,10,9,9,7,6,10,8,6,7,
222, 8,10,9,9,7,6,10,8,6,7,
223, 8,10,9,9,7,6,10,8,6,7,
224, 8,10,9,9,7,6,10,8,6,7,
225, 8,10,9,9,7,6,10,8,6,7,
226, 8,10,9,9,7,6,10,8,6,7,
227, 8,10,9,9,7,6,8,8,6,7,
228, 8,10,9,9,7,6,8,8,6,7,
229, 8,10,9,9,7,6,8,8,6,7,
230, 8,10,9,9,7,6,8,8,6,10,
231, 8,10,9,9,7,6,8,8,6,10,
232, 8,10,9,9,7,6,8,8,6,10,
233, 8,10,9,9,7,6,8,8,6,10,
234, 8,10,9,9,7,6,8,8,6,10,
235, 8,10,9,9,7,6,8,8,6,10,
236, 8,10,9,9,7,6,8,8,6,10,
237, 8,10,9,9,7,6,8,8,6,10,
238, 8,10,9,9,7,6,8,8,6,10,
239, 8,10,9,9,7,6,8,8,6,10,
240, 8,10,9,9,7,6,8,8,6,10,
241, 8,10,9,9,7,6,8,8,6,10,
242, 8,10,9,9,7,6,8,8,6,10,
243, 8,10,9,9,7,6,8,8,6,10,
244, 8,10,9,9,7,6,8,8,6,10,
245, 8,10,9,9,7,6,8,8,6,10,
246, 8,10,9,9,7,6,8,8,6,10,
247, 8,10,9,9,7,6,8,8,6,10,
248, 8,10,9,9,7,6,8,8,6,10,
249, 8,10,9,9,7,6,8,9,6,10,
250, 8,10,9,9,7,6,8,9,6,10,
251, 8,10,9,9,7,6,8,9,6,10,
252, 8,10,9,9,7,6,8,9,6,10,
253, 8,10,9,9,7,6,8,9,6,10,
254, 8,10,9,9,7,6,8,9,6,10,
255, 8,10,9,9,7,6,8,9,6,10,
256, 8,10,9,9,7,6,8,9,6,10,
257, 8,10,9,9,7,6,8,9,6,10,
258, 8,10,9,9,7,6,8,9,6,10,
259, 8,10,9,9,7,6,8,9,6,10,
260, 8,5,9,9,7,6,8,9,6,10,
261, 8,5,9,9,7,6,8,9,6,10,
262, 8,5,7,9,7,6,8,9,6,10,
263, 9,5,7,9,7,6,8,9,6,10,
264, 9,5,7,9,7,6,8,9,6,10,
265, 9,5,7,9,7,6,8,9,6,10,
266, 9,5,7,9,7,6,8,9,6,10,
267, 9,5,7,9,7,6,8,9,6,10,
268, 9,5,7,9,7,6,8,9,6,10,
269, 9,5,7,9,7,6,8,9,6,10,
270, 9,5,7,9,7,6,8,9,6,10,
271, 9,5,7,9,7,6,8,9,6,10,
272, 9,5,7,9,7,6,8,9,6,10,
273, 9,5,7,9,7,6,8,9,6,10,
274, 9,5,7,9,7,6,8,9,6,10,
275, 9,5,7,9,7,6,8,9,6,10,
276, 9,5,7,9,7,6,8,9,6,10,
277, 9,5,7,9,7,6,8,9,6,10,
278, 9,5,7,9,7,6,8,9,6,10,
279, 9,5,7,9,7,6,8,9,6,10,
280, 9,5,7,9,7,6,8,9,6,10,
281, 9,5,7,9,7,6,8,9,6,10,
282, 9,5,7,9,7,6,8,9,6,10,
283, 9,5,7,9,7,6,8,9,6,10,
284, 9,5,7,9,7,6,8,9,6,10,
285, 9,5,7,9,7,6,8,9,6,10,
286, 9,5,7,9,7,6,8,9,6,10,
287, 9,5,7,9,7,6,8,9,6,10,
288, 9,5,7,9,7,6,8,9,6,10,
289, 9,5,7,9,7,6,8,9,10,10,
290, 9,5,7,9,7,6,8,9,10,10,
291, 9,5,7,9,7,6,8,9,10,10,
292, 9,5,7,9,7,6,8,9,10,10,
293, 9,5,7,9,7,6,8,9,10,10,
294, 9,5,7,9,7,6,8,9,10,10,
295, 9,5,7,9,9,6,8,9,10,10,
296, 9,5,7,9,9,6,8,9,10,10,
297, 9,5,7,9,9,6,8,9,10,10,
298, 9,5,7,9,9,6,8,9,10,10,
299, 9,5,7,9,9,6,8,9,10,10,
300, 9,5,7,9,9,6,8,9,10,10,
301, 9,5,7,9,9,6,8,9,10,10,
302, 9,5,7,9,9,6,8,9,10,10,
303, 9,5,7,9,9,6,8,9,10,10,
304, 9,5,7,9,9,6,8,9,10,10,
305, 9,5,7,9,9,6,8,9,10,10,
306, 9,5,7,9,9,6,8,9,10,10,
307, 9,5,7,9,9,6,8,9,10,10,
308, 9,5,7,9,9,6,8,9,10,10,
309, 9,5,7,9,9,6,8,9,10,10,
310, 9,5,7,9,9,6,8,9,10,10,
311, 9,5,7,9,9,6,8,9,10,10,
312, 9,5,7,9,9,6,8,9,10,10,
313, 9,5,7,9,9,6,8,9,10,10,
314, 9,5,7,9,9,6,8,9,10,10,
315, 9,5,7,9,9,6,8,9,10,10,
316, 9,5,7,9,9,6,8,9,10,10,
317, 9,5,7,9,9,6,8,9,10,9,
318, 9,5,7,9,9,6,8,9,10,9,
319, 9,5,7,9,9,6,8,9,10,9,
320, 9,5,7,9,9,6,8,9,10,9,
321, 9,5,7,9,9,6,8,9,10,9,
322, 9,5,7,9,9,6,8,9,10,9,
323, 9,5,7,9,9,6,8,9,10,9,
324, 9,5,7,9,9,6,8,9,10,9,
325, 9,5,7,9,9,6,8,9,10,9,
326, 9,5,7,9,9,6,8,9,10,9,
327, 9,5,7,9,9,6,8,9,10,9,
328, 9,5,7,9,9,6,8,9,10,9,
329, 9,5,7,9,9,6,8,9,10,9,
330, 9,5,7,9,9,6,8,9,10,9,
331, 9,5,7,9,9,6,8,9,10,9,
332, 9,5,7,9,9,6,8,9,10,9,
333, 9,5,7,9,9,6,8,9,10,9,
334, 9,5,7,9,9,6,8,9,10,9,
335, 9,5,7,9,9,6,8,9,10,9,
336, 9,5,7,9,9,6,8,9,10,9,
337, 9,5,7,9,9,6,8,9,10,9,
338, 9,5,7,9,9,6,8,9,10,9,
339, 9,5,7,9,9,6,8,6,10,9,
340, 9,5,7,9,9,6,8,6,10,9,
341, 9,5,7,9,9,6,8,6,10,9,
342, 9,5,7,9,9,6,8,6,10,9,
343, 9,5,7,9,9,6,8,6,10,9,
344, 9,5,7,9,9,6,8,6,10,9,
345, 9,5,7,9,9,6,8,6,10,9,
346, 9,5,7,9,9,6,8,6,10,9,
347, 9,5,7,9,9,9,8,6,10,9,
348, 9,5,7,9,9,9,8,6,10,9,
349, 9,5,7,9,9,9,8,6,10,9,
350, 9,5,7,9,9,9,8,6,10,9,
351, 9,5,7,9,9,9,8,6,10,9,
352, 9,5,7,9,9,9,8,6,10,9,
353, 9,5,7,9,9,9,8,6,10,9,
354, 9,5,7,9,9,9,8,6,10,9,
